Run ID,1579271408
Run Date/Time,2020-01-17 09:40:40
Application Name,Labcyte Echo Cherry Pick
Application Version,1.6.5
Protocol Name,200114_Synthego_Reformatting_Random.ecp
Compound Pick List File Name,C:\Users\nci-lrbge_HCS\Documents\R\R_Scripts\191125_CRISPR_Epigenetics_Reformat\Output\sgRNA_Epigenetics_Library.csv
Control Pick List File Name,
User Name,NCI-LRBGE_HCS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Well,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G3,Destination Plate[2],dest_plate_2,D2,1300,1300,51.892,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N3,Destination Plate[2],dest_plate_2,E3,1300,1300,49.952,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L3,Destination Plate[2],dest_plate_2,G4,1300,1300,50.819,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M3,Destination Plate[2],dest_plate_2,F16,1300,1300,50.653,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M2,Destination Plate[2],dest_plate_2,G7,1300,1300,51.975,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K2,Destination Plate[2],dest_plate_2,J3,1300,1300,52.346,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C2,Destination Plate[2],dest_plate_2,N4,1300,1300,51.438,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E13,Destination Plate[2],dest_plate_2,J4,1300,1300,50.592,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,B13,Destination Plate[2],dest_plate_2,F20,1300,1300,50.633,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F14,Destination Plate[2],dest_plate_2,H16,1300,1300,52.222,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,J14,Destination Plate[2],dest_plate_2,D17,1300,1300,52.222,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L14,Destination Plate[2],dest_plate_2,C18,1300,1300,53.75,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N14,Destination Plate[2],dest_plate_2,H20,1300,1300,51.066,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O14,Destination Plate[2],dest_plate_2,K20,1300,1300,49.332,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,K14,Destination Plate[2],dest_plate_2,J21,1300,1300,53.667,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,M14,Destination Plate[2],dest_plate_2,B6,1300,1300,53.667,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I15,Destination Plate[2],dest_plate_2,E9,1300,1300,52.099,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,F15,Destination Plate[2],dest_plate_2,J10,1300,1300,53.894,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O15,Destination Plate[2],dest_plate_2,I20,1300,1300,45.823,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,N16,Destination Plate[2],dest_plate_2,L18,1300,1300,53.812,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,I16,Destination Plate[2],dest_plate_2,N21,1300,1300,52.078,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,H16,Destination Plate[2],dest_plate_2,K13,1300,1300,54.08,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,L17,Destination Plate[2],dest_plate_2,N16,1300,1300,50.922,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,G17,Destination Plate[2],dest_plate_2,C15,1300,1300,51.871,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,C17,Destination Plate[2],dest_plate_2,B15,1300,1300,53.399,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,O17,Destination Plate[2],dest_plate_2,B12,1300,1300,53.44,100,,AQ,
Source_files/EPR_384_layout_set_1_qc.csv,source_plate_1,E17,Destination Plate[2],dest_plate_2,F4,1300,1300,52.326,100,,AQ,
