Plate	Well2	GeneSymbol	Well	GeneID
3	I19	ASCC2	I19	N/A
3	I20	KAT6A	I20	N/A
3	J2	BRPF3	J02	N/A
3	J3	HIST1H2AM	J03	N/A
3	J4	SIRT3	J04	N/A
3	J5	HNRNPU	J05	N/A
3	J6	HELLS	J06	N/A
3	J7	PAXIP1	J07	N/A
3	J8	L3MBTL2	J08	N/A
3	J9	SENP2	J09	N/A
3	J10	ITGB3BP	J10	N/A
3	J11	MOV10	J11	N/A
3	J12	SMAD1	J12	N/A
3	J13	DIRAS3	J13	N/A
3	J14	SETD1A	J14	N/A
3	J15	INO80B	J15	N/A
3	J16	TAF1D	J16	N/A
3	J17	MUTYH	J17	N/A
3	J18	GSK3B	J18	N/A
3	J19	RBM3	J19	N/A
3	J20	ARID4B	J20	N/A
3	K2	KDM8	K02	N/A
3	K3	CDK7	K03	N/A
3	K4	LIMD1	K04	N/A
3	K5	NUP37	K05	N/A
3	K6	ATM	K06	N/A
3	K7	CHTOP	K07	N/A
3	K8	PDS5A	K08	N/A
3	K9	DEK	K09	N/A
3	K10	TDG	K10	N/A
3	K11	NCOA3	K11	N/A
3	K12	SMARCD2	K12	N/A
3	K13	SSRP1	K13	N/A
3	K14	RPA2	K14	N/A
3	K15	HIST1H4A	K15	N/A
3	K16	SRRT	K16	N/A
3	K17	HMGN2	K17	N/A
3	K18	KMT2D	K18	N/A
3	K19	SAP30	K19	N/A
3	K20	BAZ2A	K20	N/A
3	L2	RAE1	L02	N/A
3	L3	POLR2D	L03	N/A
3	L4	SMARCD1	L04	N/A
3	L5	TSPYL1	L05	N/A
3	L6	TAF1C	L06	N/A
3	L7	RBPJ	L07	N/A
3	L8	EPC1	L08	N/A
3	L9	BCOR	L09	N/A
3	L10	KMT5A	L10	N/A
3	L11	SETD2	L11	N/A
3	L12	POU5F1	L12	N/A
3	L13	MPHOSPH8	L13	N/A
3	L14	RAN	L14	N/A
3	L15	TIPIN	L15	N/A
3	L16	JADE1	L16	N/A
3	L17	CENPT	L17	N/A
3	L18	MRPL44	L18	N/A
3	L19	RNF168	L19	N/A
3	L20	HIST1H4L	L20	N/A
3	M2	HIST1H3C	M02	N/A
3	M3	TDRKH	M03	N/A
3	M4	JMJD1C	M04	N/A
3	M5	MTA2	M05	N/A
3	M6	EHMT2	M06	N/A
3	M7	BRD4	M07	N/A
3	M8	HIST1H2AB	M08	N/A
3	M9	NCAPD3	M09	N/A
3	M10	KDM5A	M10	N/A
3	M11	BAHD1	M11	N/A
3	M12	SUPT16H	M12	N/A
